Series,EpisodeNumber,EpisodeTitle,AirDate,TaskNumber,Description,IsLive,IsTeam,IsPrize,Contestant1,Contestant2,Contestant3,Contestant4,Contestant5
1,3,The poet and the egg,11 August 2015,4,Buy the best present for the Taskmaster. Here is £20.,FALSE,FALSE,FALSE,3,5,4,2,1
1,3,The poet and the egg,11 August 2015,5,"Using only the items currently on this table, get this egg as high as possible. The egg must not break.",FALSE,FALSE,FALSE,0,5,0,4,0
1,3,The poet and the egg,11 August 2015,6,Stand up after 100 seconds.,TRUE,FALSE,FALSE,2,5,1,4,4
1,4,Down an octave,18 August 2015,1,Most beautiful item.,FALSE,FALSE,TRUE,3,4,2,1,5
1,4,Down an octave,18 August 2015,2,Make this ice block disappear as fast as possible.,FALSE,FALSE,FALSE,4,5,3,2,1
1,4,Down an octave,18 August 2015,3,Get to 11 points as fast as possible.,FALSE,TRUE,FALSE,1,2,2,2,1
1,4,Down an octave,18 August 2015,4,Fill an egg cup with as many tears as possible.,FALSE,FALSE,FALSE,5,3,1,4,1
1,4,Down an octave,18 August 2015,5,Memorise the names of an Australian rules football team.,TRUE,FALSE,FALSE,1,1,1,1,1
1,5,Little denim shorts,25 August 2015,1,Most valuable item.,FALSE,FALSE,TRUE,4,5,1,3,2
1,5,Little denim shorts,25 August 2015,2,Get this boulder as far from this place as possible.,FALSE,FALSE,FALSE,4,5,1,2,3
1,5,Little denim shorts,25 August 2015,3,Grow the longest nail.,FALSE,FALSE,FALSE,3,5,2,4,1
1,5,Little denim shorts,25 August 2015,4,Make this bed to a hotel standard whilst holding hands. Your time ends when you get in the bed. Hold hands now.,FALSE,TRUE,FALSE,2,0,0,0,2
1,5,Little denim shorts,25 August 2015,5,Make this Swedish person blush as deeply as possible.,FALSE,FALSE,FALSE,3,1,5,4,2
1,5,Little denim shorts,25 August 2015,6,Blow up the biggest balloon whilst blindfolded.,TRUE,FALSE,FALSE,4,2,5,3,DQ
1,6,The last supper,1 September 2015,1,Most satisfying item.,FALSE,FALSE,TRUE,2,4,1,3,5
1,6,The last supper,1 September 2015,2,Get the lowest golf score using eggs. You must complete the 5 holes using chicken eggs. You score will be calculated as follows: Shots x eggs x minutes.,FALSE,FALSE,FALSE,4,2,5,1,3
1,6,The last supper,1 September 2015,3,Stage a realistic blooper from a home movie.,FALSE,TRUE,FALSE,2,0,0,0,2
1,6,The last supper,1 September 2015,4,Make the best meal for the Taskmaster using ingredients beginning with every letter of the alphabet.,FALSE,FALSE,FALSE,5,1,1,4,3
1,6,The last supper,1 September 2015,5,"Wearing boxing gloves, put the blue sweets in the empty bowl. Non-blue sweets will be subtracted from your total.",TRUE,FALSE,FALSE,3,2,1,4,5
2,1,Fear of failure,21 June 2016,1,Most important document.,FALSE,FALSE,TRUE,4,5,2,3,2
2,1,Fear of failure,21 June 2016,2,Place these three exercise balls on the yoga mat on the top of that hill. The task is complete when all three balls sit fully inflated and stationary on the mat.,FALSE,FALSE,FALSE,1,2,4,3,5
2,1,Fear of failure,21 June 2016,3,Get this potato into the golf hole. You may not touch the red green.,FALSE,FALSE,FALSE,2,DQ,5,3,4
2,1,Fear of failure,21 June 2016,4,Find out the following information from thisSwedish person. The Swedish person may not speak or write in English.,FALSE,FALSE,FALSE,2,1,3,5,4
2,1,Fear of failure,21 June 2016,5,Pack for your holiday. All items must either be packed in your hand luggage or worn on your body.,TRUE,FALSE,FALSE,0,0,4,3,5
2,2,Pork is a sausage,28 June 2016,1,Trendiest item of clothing.,FALSE,FALSE,TRUE,5,2,3,4,1
2,2,Pork is a sausage,28 June 2016,2,Eat me (an egg). Fastest wins.,FALSE,FALSE,FALSE,4,2,3,0,5
2,2,Pork is a sausage,28 June 2016,3,Make the best music video for a nursery rhyme.,FALSE,FALSE,FALSE,5,2,5,4,3
2,2,Pork is a sausage,28 June 2016,4,"Using this camera, take a picture of an inanimate object that looks like you.",FALSE,FALSE,FALSE,1,2,4,3,5
2,2,Pork is a sausage,28 June 2016,6,"Using these big chopsticks, get these potatoes into your basket. You must only hold the big chopsticks on the grips provided. The big chopsticks alone may touch the potatoes in turn. Whoever has the most potatoes.",TRUE,FALSE,FALSE,DQ,DQ,5,4,DQ
2,3,A pistachio eclair,5 July 2016,1,Best dinner party guest.,FALSE,FALSE,TRUE,3,5,1,4,2
2,3,A pistachio eclair,5 July 2016,2,Impress this mayor.,FALSE,FALSE,FALSE,2,3,1,5,4
2,3,A pistachio eclair,5 July 2016,3,Make the most unexpected silhouette on this screen.,FALSE,FALSE,FALSE,1,3,5,2,4
2,3,A pistachio eclair,5 July 2016,4,Buy a gift for the Taskmaster.,FALSE,FALSE,FALSE,3,2,1,4,5
2,3,A pistachio eclair,5 July 2016,5,"Put on this blindfold, then instruct only the person closest to you to open their task.",FALSE,TRUE,FALSE,0,-,-,-,-
2,3,A pistachio eclair,5 July 2016,6,Throw the rabbits into your hat.,TRUE,FALSE,FALSE,12,12,4,15,7
2,4,Welcome to Rico Face,12 July 2016,1,Coolest blue thing.,FALSE,FALSE,TRUE,3,4,5,2,1
2,4,Welcome to Rico Face,12 July 2016,2,Rescue the cat.,FALSE,FALSE,FALSE,4,3,2,5,0
2,4,Welcome to Rico Face,12 July 2016,3,Conceal this pineapple on your person. No part of the pineapple may be thrown away.,FALSE,FALSE,FALSE,2,1,5,4,3
2,4,Welcome to Rico Face,12 July 2016,4,Set a fun task. Your task must take no more than one minute.,FALSE,FALSE,FALSE,0,0,-,0,0
2,4,Welcome to Rico Face,12 July 2016,5,"Using only the items on the rug, construct the best thing for the Taskmaster.",FALSE,TRUE,FALSE,4,4,1,4,1
2,4,Welcome to Rico Face,12 July 2016,6,Create the highest tower using only these potato-based items. Your potato tower must be self-standing. Your potato tower must be built on the table. Your potato tower will be measured from the tabletop to the highest potato point.,TRUE,FALSE,FALSE,5,0,0,0,0
2,5,There's strength in arches,19 July 2016,1,Best piece of memorabilia.,FALSE,FALSE,TRUE,2,1,3,4,5
2,5,There's strength in arches,19 July 2016,2,Get all this shopping into the shopping trolley.,FALSE,FALSE,FALSE,DQ,5,DQ,3,4
2,5,There's strength in arches,19 July 2016,3,Make the best stop-motion film starring this potato.,FALSE,TRUE,FALSE,2,2,3,2,3
2,5,There's strength in arches,19 July 2016,4,Make a bridge over the river using only items on this table. Highest self-supporting bridge wins. The bridge alone must support the potato. You must not touch the Taskmaster's house.,FALSE,FALSE,FALSE,4,3,5,1,2
2,5,There's strength in arches,19 July 2016,5,"Put on a pair of food handling gloves, eat a whole banana correctly, put on a tie, and clap as many times as possible.",TRUE,FALSE,FALSE,4,0,2,3,5
3,1,A pea in a haystack,4 October 2016,1,Most flamboyant clock.,FALSE,FALSE,TRUE,4,3,1,2,5
3,1,A pea in a haystack,4 October 2016,2,Get to the microwave in as few steps as possible and open the door before the microwave dings.,FALSE,FALSE,FALSE,4,2,DQ,5,3
3,1,A pea in a haystack,4 October 2016,3,Propel this pea the furthest distance. Your pea must land and remain on the red carpet.,FALSE,FALSE,FALSE,5,DQ,2,4,3
3,1,A pea in a haystack,4 October 2016,4,Make the best snowman.,FALSE,FALSE,FALSE,3,5,1,2,4
3,1,A pea in a haystack,4 October 2016,5,Balance your swedes on your Swede. Your Swede must remain standing at all times. Your swedes may only balance on the exterior of your Swede.,TRUE,FALSE,FALSE,5,3,4,2,1
3,2,The dong and the gong,11 October 2016,1,Heaviest item that can fit in a shoebox.,FALSE,FALSE,TRUE,3,5,2,4,1
3,2,The dong and the gong,11 October 2016,2,Surprise Alex when he emerges from the shed in one hour.,FALSE,FALSE,FALSE,4,3,1,5,2
3,2,The dong and the gong,11 October 2016,3,Team Puzzle:Release Alex.,FALSE,FALSE,FALSE,0,0,0,5,5
3,2,The dong and the gong,11 October 2016,4,Create the best upside-down self portrait using only the materials supplied. The Taskmaster will judge the picture when it has been rotated 180 degrees.,FALSE,FALSE,FALSE,5,3,2,2,4
3,2,The dong and the gong,11 October 2016,5,Pop the balloons.,FALSE,FALSE,FALSE,1,3,4,5,2
3,2,The dong and the gong,11 October 2016,6,Unravel a whole roll of sticky tape. Put the unraveled sticky tape in your lunchbox. Close your lunchbox.,TRUE,FALSE,FALSE,5,3,4,0,2
3,3,Little polythene grief cave,18 October 2016,1,Best battery-operated item.,FALSE,FALSE,TRUE,2,1,4,5,3
3,3,Little polythene grief cave,18 October 2016,2,Fill this egg cup with your own sweat.,FALSE,FALSE,FALSE,DQ,3,5,2,4
3,3,Little polythene grief cave,18 October 2016,3,Make the best domino rally.,FALSE,FALSE,FALSE,1,4,5,3,1
3,3,Little polythene grief cave,18 October 2016,4,Buy a gift for the Taskmaster.,FALSE,FALSE,FALSE,3,5,2,4,1
3,3,Little polythene grief cave,18 October 2016,5,Create the best flag meal.,FALSE,FALSE,FALSE,2,5,4,1,3
3,3,Little polythene grief cave,18 October 2016,6,Anchor these balloons using only bread.,TRUE,FALSE,FALSE,1,3,2,4,5
3,4,A very nuanced character,25 October 2016,1,Shiniest thing.,FALSE,FALSE,TRUE,1,3,5,2,4
3,4,A very nuanced character,25 October 2016,2,Spread your clothes as far and wide as possible at your own expense. You must discard four items of clothing that you're currently wearing.,FALSE,FALSE,FALSE,5,3,1,4,2
3,4,A very nuanced character,25 October 2016,3,Find out what this gentleman did for a living. You can ask him any question but you must whisper at all times. The gentleman can only nod or shake his head. The gentleman can only lie.,FALSE,FALSE,FALSE,5,4,1,2,3
3,4,A very nuanced character,25 October 2016,4,Make the most special effect.,FALSE,TRUE,FALSE,3,3,3,2,2
3,4,A very nuanced character,25 October 2016,5,"Wearing a blindfold, cover yourself in sticky notes. Sticky notes must be applied individually.",TRUE,FALSE,FALSE,2,4,1,5,3
3,5,The F.I.P,1 November 2016,1,The photo of the most handsome relative.,FALSE,FALSE,TRUE,4,5,1,3,1
3,5,The F.I.P,1 November 2016,2,Move the water from bucket A to bucket B. You must not move the buckets.,FALSE,FALSE,FALSE,5,DQ,3,4,3
3,5,The F.I.P,1 November 2016,3,"Wearing one of these hands on each of your hands at all times, communicate to your teammates the names of these films, books or TV programmes. You may not raise your voice.",FALSE,TRUE,FALSE,5,5,5,0,0
3,5,The F.I.P,1 November 2016,4,Do something that looks brilliant when sped up or slowed down.,FALSE,FALSE,FALSE,2,3,3,5,5
3,5,The F.I.P,1 November 2016,5,"Place one or more doughnuts on your stick. You have 100 seconds, after which the person with the lowest unique whole number of doughnuts on their stick wins.",TRUE,FALSE,FALSE,0,0,0,5,0
4,1,A fat bald white man,25 April 2017,1,Most interesting autograph on the most interesting vegetable.,FALSE,FALSE,TRUE,1,2,3,4,5
4,1,A fat bald white man,25 April 2017,2,Destroy this cake.,FALSE,FALSE,FALSE,1,5,2,3,4
4,1,A fat bald white man,25 April 2017,4,Fell all the rubber ducks.,FALSE,FALSE,FALSE,5,3,4,1,2
4,1,A fat bald white man,25 April 2017,5,"Make the most juice. You must pick one fruit and one tool. If you pick the same tool as someone else, you must juice blindfolded. If you pick the same fruit as someone else, you must juice one-handed. If you pick the same fruit and tool as someone else, you must juice blindfolded, one-handed and bouncing up and down.",TRUE,FALSE,FALSE,4,3,1,5,2
4,2,Look at me,2 May 2017,1,Most boastful item.,FALSE,FALSE,TRUE,1,2,4,3,5
4,2,Look at me,2 May 2017,2,Keep the basketball on the running machine for as long as possible. You may not touch the basketball or the running machine.,FALSE,FALSE,FALSE,5,2,4,3,1
4,2,Look at me,2 May 2017,3,"Paint the best picture of the Taskmaster. Only the paint, and brush may touch the mat, easel and canvas.",FALSE,FALSE,FALSE,DQ,4,2,3,5
4,2,Look at me,2 May 2017,4,Land the flour on the target. You may not leave the bandstand.,FALSE,TRUE,FALSE,5,DQ,DQ,5,DQ
4,2,Look at me,2 May 2017,5,"Without touching the egg or the egg cup, get the egg into the egg cup. You may only use the equipment currently on the table. If you touch a piece of equipment that another contestant touches, you will both receive a 1 minute penalty per piece of equipment touched.",FALSE,FALSE,FALSE,2,3,5,1,4
4,2,Look at me,2 May 2017,6,"Looking at the Taskmaster at all times and with your arms always beneath your hairdressing smock, attach as many balloons together as possible.",TRUE,FALSE,FALSE,4,2,3,5,3
4,3,Hollowing out a baguette,9 May 2017,1,Best membership/subscription.,FALSE,FALSE,TRUE,1,3,4,2,5
4,3,Hollowing out a baguette,9 May 2017,2,Camouflage yourself.,FALSE,FALSE,FALSE,4,4,2,1,5
4,3,Hollowing out a baguette,9 May 2017,3,Make a trailer for Taskmaster The Movie.,FALSE,TRUE,FALSE,3,2,2,3,2
4,3,Hollowing out a baguette,9 May 2017,4,Persuade three dogs to stand on the red mat. Exactly 12 legs must be stood on the red mat at the same time.,FALSE,FALSE,FALSE,3,5,-,1,4
4,3,Hollowing out a baguette,9 May 2017,6,"Take it in turns to say a 5-letter word whenever the music stops. You may not say a word that has been previously said. If you fail to say a word before the music starts again, you're eliminated and the game continues with different length words.",TRUE,FALSE,FALSE,0,5,0,0,0
4,4,Friendship is truth,16 May 2017,1,Most surprising picture of themselves.,FALSE,FALSE,TRUE,1,4,5,3,2
4,4,Friendship is truth,16 May 2017,3,Choreograph a dance for you and Alex to perform to any of the following ringtones.,FALSE,FALSE,FALSE,1,2,3,5,5
4,4,Friendship is truth,16 May 2017,4,Create a portrait of a celebrity using loo roll. There is a camera above your head. The mat beneath your feet is your canvas.,FALSE,FALSE,FALSE,3,4,2,2,5
4,4,Friendship is truth,16 May 2017,5,Do the most incredible thing with this pommel horse.,FALSE,FALSE,FALSE,5,3,1,5,3
4,4,Friendship is truth,16 May 2017,6,Make the highest tower using these tubes.,TRUE,FALSE,FALSE,5,3,3,5,3
4,5,Meat,23 May 2017,1,Cutest thing.,FALSE,FALSE,TRUE,1,4,5,2,3
4,5,Meat,23 May 2017,2,Slide the furthest.,FALSE,FALSE,FALSE,4,2,1,5,3
4,5,Meat,23 May 2017,4,Put as many different things in the bathtub.,FALSE,TRUE,FALSE,5,-,0,-,-
4,5,Meat,23 May 2017,5,Throw something into something.,FALSE,FALSE,FALSE,3,2,1,5,4
4,6,Spatchcock it,30 May 2017,1,Best sheep-related item.,FALSE,FALSE,TRUE,2,3,5,1,3
4,6,Spatchcock it,30 May 2017,2,Get this camel through the smallest gap.,FALSE,FALSE,FALSE,4,2,3,5,1
4,6,Spatchcock it,30 May 2017,4,Work out what's in the sleeping bag. You may not look inside the sleeping bag. You may not take items out of the sleeping bag.,FALSE,FALSE,FALSE,DQ,5,5,2,5
4,6,Spatchcock it,30 May 2017,5,Prepare these items for the second part of the task.,TRUE,FALSE,FALSE,2,1,3,4,5
4,7,No stars for naughty boys,6 June 2017,1,Best chair.,FALSE,FALSE,TRUE,5,2,3,1,4
4,7,No stars for naughty boys,6 June 2017,2,"Stand on one leg then continue reading. Your raised foot must not touch the ground until the task is complete. Bring Alex his dinner. Every time your raised foot touches the ground, you must eat a slice of Alex's dinner.",FALSE,FALSE,FALSE,4,3,1,2,5
4,7,No stars for naughty boys,6 June 2017,3,Hide from Alex. Alex is in the caravan.,FALSE,FALSE,FALSE,3,3,5,4,1
4,7,No stars for naughty boys,6 June 2017,4,"Get this wheelie bin across the finish line. One of you must be in the bin at all times. The other person must be blindfolded at all times. The wheelie bin rider must direct the wheelie bin drivers to complete the course and the five challenges with. Also, no-one can speak English.",FALSE,TRUE,FALSE,2,3,3,2,3
4,7,No stars for naughty boys,6 June 2017,5,Unveil a new handshake.,FALSE,FALSE,FALSE,3,5,3,3,4
4,7,No stars for naughty boys,6 June 2017,6,Make the best and biggest all-round banana out of these bananas.,TRUE,FALSE,FALSE,3,4,5,1,2
4,8,Tony Three Pies,13 June 2017,1,Most cash.,FALSE,FALSE,TRUE,1,4,5,2,3
4,8,Tony Three Pies,13 June 2017,3,Strike one of these objects the furthest distance with one of the other objects. You have three strikes with your chosen object.,FALSE,FALSE,FALSE,4,3,1,2,5
4,8,Tony Three Pies,13 June 2017,4,Do something surprising with this rubber duck.,FALSE,FALSE,FALSE,2,3,1,5,4
5,1,Dignity intact,13 September 2017,1,Something that makes the most excellent noise.,FALSE,FALSE,TRUE,3,2,5,1,4
5,1,Dignity intact,13 September 2017,2,Give Alex a special cuddle.,FALSE,FALSE,FALSE,3,5,2,2,4
5,1,Dignity intact,13 September 2017,3,Get Alex onto dry land as elegantly as possible. Alex must remain dry.,FALSE,FALSE,FALSE,3,2,1,5,4
5,1,Dignity intact,13 September 2017,4,Get the basketball through the hoop. You may not touch the basketball with your hands. You may not wear gloves or anything that could reasonably be construed to be gloves.,FALSE,FALSE,FALSE,3,5,4,2,DQ
5,1,Dignity intact,13 September 2017,5,Get one item of fruit into the fishbowl. You may not leave or move your chair. You may not throw your fruit.,TRUE,FALSE,FALSE,1,4,5,3,2
5,2,The leprechaun or the lesbian,20 September 2017,1,Hippest item of headwear.,FALSE,FALSE,TRUE,3,4,2,1,5
5,2,The leprechaun or the lesbian,20 September 2017,2,Make the best coconut flinging machine.,FALSE,FALSE,FALSE,2,5,2,3,4
5,2,The leprechaun or the lesbian,20 September 2017,3,Paint the best rainbow scene. You may not open the lab door until the task is complete.,FALSE,FALSE,FALSE,5,1,3,2,4
5,2,The leprechaun or the lesbian,20 September 2017,4,There is a loaf of bread in the lab. Slice the loaf as neatly as possible. You may use one tool only and that tool must be found in this caravan.,FALSE,FALSE,FALSE,DQ,DQ,4,5,DQ
5,2,The leprechaun or the lesbian,20 September 2017,5,Achieve the greatest splat. One teammate must be splatted for the splat to be valid.,FALSE,TRUE,FALSE,2,2,3,3,2
5,3,Phoenix,27 September 2017,1,The thing they're actually proudest of.,FALSE,FALSE,TRUE,3,5,2,1,4
5,3,Phoenix,27 September 2017,2,Remove the table tennis ball from the pipe. The pipe must not move.,FALSE,FALSE,FALSE,DQ,5,3,2,4
5,3,Phoenix,27 September 2017,3,Make this coconut look like a businessman.,FALSE,FALSE,FALSE,3,1,4,5,2
5,3,Phoenix,27 September 2017,4,"Items: Jelly, Weetabix, TwigletEat one item.",FALSE,FALSE,FALSE,2,4,3,0,5
5,3,Phoenix,27 September 2017,5,"Play table tennis with words. When the ball is within striking distance, you must say a word while pretending to hit the ball with your bat. That word must begin with the last letter of the previous word. If you fail to say a word within the time it would take you to hit a ball, you are out. After saying a word, you must run to the back of the opposite queue.",TRUE,FALSE,FALSE,5,2,3,4,1
5,4,Residue around the hoof,4 October 2017,1,Most extraordinary souvenir.,FALSE,FALSE,TRUE,5,1,2,4,3
5,4,Residue around the hoof,4 October 2017,2,Make Marmite.,FALSE,FALSE,FALSE,3,5,4,DQ,2
5,4,Residue around the hoof,4 October 2017,3,Do something remarkable synchronised.,FALSE,TRUE,FALSE,3,3,2,2,3
5,4,Residue around the hoof,4 October 2017,4,"Wearing this blindfold, blow up this balloon so that its circumference is the same as the length of a standard cucumber.",FALSE,FALSE,FALSE,3,4,5,1,2
5,4,Residue around the hoof,4 October 2017,5,Sneeze.,FALSE,FALSE,FALSE,DQ,5,4,0,DQ
5,4,Residue around the hoof,4 October 2017,6,"Stand on one leg for the longest whilst playing a game of Greg says, Alex says. Your raised foot must remain above the balloon at all times and may not touch any other item.",TRUE,FALSE,FALSE,5,1,4,2,3
5,5,A wind-dried puffin,11 October 2017,1,Most high octane item.,FALSE,FALSE,TRUE,3,4,1,2,5
5,5,A wind-dried puffin,11 October 2017,2,"Put the biggest thing inside this balloon. The balloon must then be successfully inflated, tied, and bigger than your head.",FALSE,FALSE,FALSE,5,0,4,0,0
5,5,A wind-dried puffin,11 October 2017,3,Generate a watercooler moment involving this watercooler.,FALSE,FALSE,FALSE,2,3,1,4,5
5,5,A wind-dried puffin,11 October 2017,4,"Make the tallest tower of cans on this table. Also, whilst building your tower, you must shake Alex's hand and say you're from a different country once every 10 seconds. Alex will blow his whistle every 10 seconds.",FALSE,FALSE,FALSE,1,5,5,3,2
5,6,Spoony Neeson,18 October 2017,1,Best thing they've made themselves.,FALSE,FALSE,TRUE,4,5,1,3,2
5,6,Spoony Neeson,18 October 2017,2,Balance Alex. You may not use any humans to balance Alex.,FALSE,FALSE,FALSE,3,2,1,5,4
5,6,Spoony Neeson,18 October 2017,3,"With this camera strapped to your head, record the most incredible footage.",FALSE,FALSE,FALSE,4,4,4,1,5
5,6,Spoony Neeson,18 October 2017,5,Make yourself monotone.,TRUE,FALSE,FALSE,5,2,3,1,4
5,7,Boing boing,25 October 2017,1,Most surprisingly expensive item.,FALSE,FALSE,TRUE,3,3,5,1,4
5,7,Boing boing,25 October 2017,2,"Wearing that blindfold at all times, travel as far as possible in three minutes. Alex will be at your side at all times because he is a strong, independent, handsome man. On removing the blindfold, you will then have another three minutes to retrace your steps to your starting position.",FALSE,FALSE,FALSE,4,5,2,1,3
5,7,Boing boing,25 October 2017,3,Muster the biggest coconut bobsleigh team. You may only use items from the caravan to secure your coconuts. You'll be disqualified if you use any item used by another contestant.,FALSE,FALSE,FALSE,5,DQ,3,4,DQ
5,7,Boing boing,25 October 2017,4,"Vote for which contestant you think should receive five bonus points. The contestant who receives the most votes will receive five bonus points. You may vote for yourself. If, however, you vote for yourself and fail to receive the most votes, you will lose two points.",FALSE,FALSE,FALSE,0,0,-2,-2,5
5,7,Boing boing,25 October 2017,5,Make a funny little flick-book film. The mat beneath your feet is the paper. The camera above your head will take photos of your paper.,FALSE,FALSE,FALSE,3,5,3,5,3
5,7,Boing boing,25 October 2017,6,Send the most things to the Taskmaster. Items must travel via zipline and land on your segment of the Taskmaster's table. You may not move from your current position.,TRUE,FALSE,FALSE,2,5,4,3,1
5,8,Their water's so delicious,1 November 2017,1,Most awkward item for somebody else to take home.,FALSE,FALSE,TRUE,2,1,5,4,3
5,8,Their water's so delicious,1 November 2017,2,Get this coconut as far from here as possible. You may not touch the ground. You may not step on anything more than once. The coconut may not travel by car.,FALSE,FALSE,FALSE,3[1],4[1],DQ,2,5
5,8,Their water's so delicious,1 November 2017,3,Create the best graph.,FALSE,FALSE,FALSE,3,4,3,5,3
5,8,Their water's so delicious,1 November 2017,4,Write and perform a song about this woman.,FALSE,TRUE,FALSE,2,2,3,3,2
5,8,Their water's so delicious,1 November 2017,5,Throw the egg through the hoop and catch it as many times as possible. You may not touch the net or post.,TRUE,FALSE,FALSE,0,5,0,0,4
CoC1,1,Wiley giraffe blower,13 December 2017,1,The thing that genuinely causes them the most embarrassment.,FALSE,FALSE,TRUE,2,5,4,1,3
CoC1,1,Wiley giraffe blower,13 December 2017,2,Either throw an exercise ball into the bath or put all the coconuts in the shopping trolley. You must throw the exercise ball while under a roof and you may not move the bath. You must not touch any of the coconuts with your hands and you may not move the shopping trolley.,FALSE,FALSE,FALSE,2,1,3,5,4
CoC1,1,Wiley giraffe blower,13 December 2017,3,Blow something substantial off this table.,FALSE,FALSE,FALSE,2,4,4,1,5
CoC1,1,Wiley giraffe blower,13 December 2017,4,Perform a miracle.,FALSE,FALSE,FALSE,4,5,5,4,3
CoC1,1,Wiley giraffe blower,13 December 2017,5,"Write down a word beginning with T every time Alex blows his whistle. The person with the second longest word takes a step down. Whoever writes down the longest word misses a turn. If you write down one of Alex's special words, you advance an extra step.",TRUE,FALSE,FALSE,1,4,4,5,4
CoC1,2,I've sinned again,20 December 2017,1,Best thing.,FALSE,FALSE,TRUE,3,3,1,4,5
CoC1,2,I've sinned again,20 December 2017,2,What's in the case?,FALSE,FALSE,FALSE,2,4,1,5,3
CoC1,2,I've sinned again,20 December 2017,3,Make a mask that tastes delicious and looks great. Your mask but be entirely edible and entirely wearable. You must then wear your mask so Alex can taste it.,FALSE,FALSE,FALSE,5,4,3,2,2
CoC1,2,I've sinned again,20 December 2017,4,Make the biggest mess and completely clear it up.,FALSE,FALSE,FALSE,1,3,5,4,4
CoC1,2,I've sinned again,20 December 2017,5,Record the highest total of steps on your pedometer. You may not touch your blindfold.,TRUE,FALSE,FALSE,2,4,5,1,3
6,1,The old soft curved padlock,2 May 2018,1,Best liquid.,FALSE,FALSE,TRUE,4,1,3,1,5
6,1,The old soft curved padlock,2 May 2018,2,"Perform the best stunt, using this wheelbarrow.",FALSE,FALSE,FALSE,5,1,3,4,2
6,1,The old soft curved padlock,2 May 2018,3,Make the highest tower using only what's in the bowl. You may wield the knife a maximum of 5 times.,FALSE,FALSE,FALSE,4,1,3,5,2
6,1,The old soft curved padlock,2 May 2018,4,"Wearing a hat, kiss the portrait of the Taskmaster in the Taskmaster's House. The hat must not come from the grounds of the Taskmaster's house. Closest to 30 minutes wins.",FALSE,FALSE,FALSE,5,1,3,4,2
6,1,The old soft curved padlock,2 May 2018,5,"Sort the objects under the table in order of size. You must keep your elbows on the table top and your head in your hands at all times. The smallest object should be on your right, the largest on your left, and they must all be in line under your table. Also, there must be no fruit in your line-up. If there is any fruit left under your table, you will be disqualified.",TRUE,FALSE,FALSE,DQ,4,5,4,DQ
6,2,Tarpeters,9 May 2018,1,Best hairy thing that isn't alive.,FALSE,FALSE,TRUE,2,1,4,2,5
6,2,Tarpeters,9 May 2018,2,"Get the highest score in darts. You can either throw one dart from 1 metre away, three darts from 2.37 metres away, or sixty darts from 10 metres away. When throwing, please stand behind whichever distance line you choose.",FALSE,FALSE,FALSE,2,3,5,1,4
6,2,Tarpeters,9 May 2018,3,Keep Alex dry. You may not touch Alex at any point. You may not be within the compass when the shower is on.,FALSE,TRUE,FALSE,4,1,1,4,1
6,2,Tarpeters,9 May 2018,4,"Take a picture of a group of people, each holding an egg. Most people holding eggs in a picture wins. You must be in your picture.",FALSE,FALSE,FALSE,2,3,5,4,1
6,2,Tarpeters,9 May 2018,5,Make this wind-up little man go on the most extraordinary journey.,FALSE,FALSE,FALSE,3,5,4,3,3
